,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Melanthieae,1,NA,165.29662,NA,89.11992,NA,NA,50.9694,130.68527,Liliales,Melanthiaceae,Melanthieae
Melastomatoideae,2,59.46106,64.21452,43.31573,53.34123,23.57191,62.60061,34.18125,72.96666,Myrtales,Melastomataceae,Melastomatoideae
Menispermeae,1,NA,118.0435,NA,91.70358,NA,NA,68.5043,122.60081,Ranunculales,Menispermaceae,Menispermeae
Mesembryanthemoideae,2,21.98046,86.32756,11.20887,43.75308,1.62662,24.7489,23.54646,62.71812,Caryophyllales,Aizoaceae,Mesembryanthemoideae
Mezilaurus,2,NA,NA,NA,NA,NA,NA,NA,NA,Laurales,Lauraceae,Mezilaurus
Micrairoideae,2,30.91469,44.04574,28.35063,46.17821,7.83395,50.16639,32.24191,63.98344,Poales,Poaceae,Micrairoideae
Mimosoideae,2,50.88961,99.39274,27.93177,52.68956,8.92253,51.05828,33.16798,75.67442,Fabales,Fabaceae,Mimosoideae
Monotropoideae,2,128.2023,133.69695,51.76319,61.80796,37.59055,67.23606,46.37005,76.35626,Ericales,Ericaceae,Monotropoideae
Monsteroideae,2,65.95611,91.71251,40.00789,59.37489,18.9235,59.39011,39.85108,79.22842,Alismatales,Araceae,Monsteroideae
Morinoideae,1,NA,79.6724,NA,34.50122,NA,NA,24.7686,43.26197,Dipsacales,Caprifoliaceae,Morinoideae
MorkillioideaeTribuloideae,1,NA,146.8808,NA,80.21368,NA,NA,29.4329,118.96872,Zygophyllales,Zygophyllaceae,MorkillioideaeTribuloideae
Mutisioideae,2,70.46276,72.98989,32.11069,35.59515,20.88035,45.25774,26.05064,46.99994,Asterales,Asteraceae,Mutisioideae
Myoporeae,1,NA,55.22335,NA,19.4147,NA,NA,6.57904,37.07189,Lamiales,Scrophulariaceae,Myoporeae
Myrsinoideae,2,97.2201,101.49566,51.86715,60.15409,21.46731,70.38074,38.1249,82.60233,Ericales,Primulaceae,Myrsinoideae
Myrtoideae,2,77.91733,98.94813,35.92351,52.5969,13.20161,63.09246,23.911,75.37598,Myrtales,Myrtaceae,Myrtoideae
Myxopyreae,1,NA,119.47061,NA,39.67977,NA,NA,22.79146,60.57831,Lamiales,Oleaceae,Myxopyreae
Nandinoideae,1,NA,124.95289,NA,64.25402,NA,NA,38.78561,91.76042,Ranunculales,Berberidaceae,Nandinoideae
Navioideae,2,22.21451,33.13642,10.75434,18.45916,3.0477,18.46254,12.26166,24.55489,Poales,Bromeliaceae,Navioideae
Nelsonioideae,2,135.20062,157.15405,50.95766,69.16352,31.4755,71.60645,57.72973,80.36275,Lamiales,Acanthaceae,Nelsonioideae
Nemacladoideae,2,113.41942,115.55076,52.007,62.11588,28.21517,73.751,41.74464,81.74304,Asterales,Campanulaceae,Nemacladoideae
Nepetoideae,2,77.65927,143.56614,33.88087,62.91683,19.06395,48.68238,52.39415,75.3578,Lamiales,Lamiaceae,Nepetoideae
Nicotianoideae,2,53.09421,56.62924,24.99635,28.67391,12.3037,36.3103,14.91577,40.76769,Solanales,Solanaceae,Nicotianoideae
Nivenioideae,2,47.34082,64.34753,21.41087,36.0161,7.15346,36.36826,22.13484,49.06847,Asparagales,Iridaceae,Nivenioideae
Nolinoideae,2,97.8425,106.11927,44.61992,52.89455,28.54391,61.74752,38.91776,68.30392,Asparagales,Asparagaceae,Nolinoideae
Nypoideae,1,NA,72.9193,NA,43.60437,NA,NA,25.42101,62.21104,Arecales,Arecaceae,Nypoideae
Ochnoideae,1,NA,119.07588,NA,50.27227,NA,NA,28.61567,80.5104,Malpighiales,Ochnaceae,Ochnoideae
Oleeae,2,84.2574,119.47061,22.48188,39.67977,6.61851,39.56961,22.79146,60.57831,Lamiales,Oleaceae,Oleeae
Olisbeoideae,2,15.96299,64.21452,18.13664,53.34123,3.81081,36.04325,34.18125,72.96666,Myrtales,Melastomataceae,Olisbeoideae
Orchidoideae,2,89.5645,113.0458,58.55271,84.32234,33.09781,88.08178,57.82956,107.69592,Asparagales,Orchidaceae,Orchidoideae
Orobancheae,2,114.4501,135.75059,37.39183,49.11277,22.95935,52.53004,39.68238,59.19334,Lamiales,Orobanchaceae,Orobancheae
Orontioideae,2,72.18914,172.17971,43.19711,108.06997,18.18344,75.02175,56.55119,145.86097,Alismatales,Araceae,Orontioideae
Pachygoneae,1,NA,79.6937,NA,70.92393,NA,NA,60.00677,93.08363,Ranunculales,Menispermaceae,Pachygoneae
Panicoideae,2,35.84716,49.6491,37.38995,57.16534,18.59547,58.81988,43.28647,70.30154,Poales,Poaceae,Panicoideae
Parideae,1,NA,165.29662,NA,89.11992,NA,NA,50.9694,130.68527,Liliales,Melanthiaceae,Parideae
Parnassioideae,1,NA,144.62003,NA,93.34092,NA,NA,69.9551,120.64493,Celastrales,Celastraceae,Parnassioideae
Paronychieae,2,97.76845,112.98402,66.03903,87.46001,41.04053,90.5708,71.61538,104.15266,Caryophyllales,Caryophyllaceae,Paronychieae
Patersonioideae,1,NA,101.93271,NA,65.54442,NA,NA,49.86517,82.98678,Asparagales,Iridaceae,Patersonioideae
Pedicularidae,2,84.75673,128.93545,24.83288,42.48141,12.33548,37.05935,32.46402,53.03486,Lamiales,Orobanchaceae,Pedicularidae
Peronematoideae,2,113.9231,114.26293,38.68912,42.45042,23.47405,54.46727,30.24036,55.25158,Lamiales,Lamiaceae,Peronematoideae
Persoonioideae,1,NA,96.18589,NA,55.57518,NA,NA,27.74307,83.4432,Proteales,Proteaceae,Persoonioideae
Pertyoideae,2,35.67953,66.83038,14.49883,30.8738,4.32071,25.46123,21.97014,40.19888,Asterales,Asteraceae,Pertyoideae
Petunioideae,2,59.50932,73.56578,30.47739,45.93481,11.09403,48.16638,32.83317,58.62992,Solanales,Solanaceae,Petunioideae
Pharoideae,2,22.26617,93.1429,14.58077,86.85357,3.18302,29.13398,78.24347,97.21743,Poales,Poaceae,Pharoideae
Phyllanthoideae,2,133.59128,173.74869,52.3303,81.73541,24.7809,86.5187,54.48323,106.95811,Malpighiales,Phyllanthaceae,Phyllanthoideae
Phytolaccoideae,1,NA,97.6722,NA,48.41695,NA,NA,29.89128,65.7479,Caryophyllales,Phytolaccaceae,Phytolaccoideae
Piperoideae,2,71.56028,100.80238,32.08074,61.99242,20.8834,47.16357,38.04804,85.32762,Piperales,Piperaceae,Piperoideae
Pitcairnioideae,2,18.2196,25.61931,9.24484,14.33725,3.74118,15.34451,8.79521,20.26276,Poales,Bromeliaceae,Pitcairnioideae
Plantagineae,1,NA,125.57126,NA,57.11245,NA,NA,36.71831,75.57608,Lamiales,Plantaginaceae,Plantagineae
Plassifloroideae,1,NA,112.13493,NA,60.59922,NA,NA,37.192,87.62214,Malpighiales,Passifloraceae,Plassifloroideae
