,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Cistaceae,2,24.29798,38.61695,24.29798,38.61695,9.86802,41.89701,20.50829,58.20695,Malvales,Cistaceae,NA
Cleomaceae,2,34.98743,45.72423,34.98743,45.72423,19.32386,49.66971,36.03134,56.70142,Brassicales,Cleomaceae,NA
Clethraceae,2,66.62848,86.36973,66.62848,86.36973,36.59987,89.40812,77.3631,95.35423,Ericales,Clethraceae,NA
Clusiaceae,2,33.095,89.19904,33.095,89.19904,8.21289,58.60415,86.3002,94.44743,Malpighiales,Clusiaceae,NA
Codonaceae,2,7.62812,60.33101,7.62812,60.33101,0.95073,18.12358,43.68445,79.66949,Boraginales,Codonaceae,NA
Colchicaceae,2,32.4127,64.39313,32.4127,64.39313,12.61661,52.94277,36.62369,89.24362,Liliales,Colchicaceae,NA
Coldeniaceae,1,NA,24.94188,NA,24.94188,NA,NA,14.38502,38.53351,Boraginales,Coldeniaceae,NA
Columelliaceae,2,35.56896,76.55249,35.56896,76.55249,14.81988,59.9949,60.95542,90.55906,Bruniales,Columelliaceae,NA
Combretaceae,2,37.19339,91.02623,37.19339,91.02623,14.59414,65.35495,73.17928,108.45494,Myrtales,Combretaceae,NA
Commelinaceae,3,57.22456,83.20689,57.22456,83.20689,30.86951,77.94515,62.94989,103.6424,Commelinales,Commelinaceae,NA
Connaraceae,2,22.56148,51.20699,22.56148,51.20699,7.43672,42.6637,23.50348,80.55607,Oxalidales,Connaraceae,NA
Convolvulaceae,6,56.87839,78.92965,56.87839,78.92965,44.38556,69.33533,66.91586,91.24213,Solanales,Convolvulaceae,NA
Cordiaceae,2,19.71189,28.32692,19.71189,28.32692,7.80317,32.05609,16.99996,41.4096,Boraginales,Cordiaceae,NA
Coriariaceae,2,12.15958,56.94388,12.15958,56.94388,2.35883,25.45012,29.30268,82.05507,Cucurbitales,Coriariaceae,NA
Cornaceae,2,49.11247,67.11063,49.11247,67.11063,25.96256,71.83837,45.79637,85.52638,Cornales,Cornaceae,NA
