,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Goodeniaceae,2,76.67148,87.23922,57.02044,77.37188,33.99209,73.98814,73.20811,81.81762,Asterales,Goodeniaceae,NA
Goupiaceae,1,NA,132.50367,NA,77.10992,NA,NA,54.47773,95.00448,Malpighiales,Goupiaceae,NA
Griseliniaceae,2,67.73819,104.88878,23.53239,66.42762,3.49236,53.77855,51.1917,80.34542,Apiales,Griseliniaceae,NA
Grossulariaceae,2,19.66041,123.50686,12.31197,64.89438,1.25149,26.518,41.87478,88.30629,Saxifragales,Grossulariaceae,NA
Grubbiaceae,2,32.80343,94.94325,16.89352,45.0522,4.57926,30.80785,24.28882,66.02972,Cornales,Grubbiaceae,NA
Guamatelaceae,1,NA,68.14928,NA,30.87484,NA,NA,15.32407,49.01858,Crossosomatales,Guamatelaceae,NA
Gunneraceae,2,50.03628,129.21137,32.80949,97.52517,8.43503,61.82472,53.94628,134.77737,Gunnerales,Gunneraceae,NA
Gyrostemonaceae,2,10.40571,73.1127,10.11222,42.91152,2.43332,19.26905,29.2486,58.08383,Brassicales,Gyrostemonaceae,NA
Haemodoraceae,2,92.21787,106.23821,56.31192,74.36232,29.27201,81.16308,56.29567,92.83544,Commelinales,Haemodoraceae,NA
Halophytaceae,1,NA,66.04108,NA,34.4381,NA,NA,23.14731,48.07938,Caryophyllales,Halophytaceae,NA
Haloragaceae,2,33.13237,74.32511,20.95614,40.36736,7.95764,34.80956,22.59703,57.96427,Saxifragales,Haloragaceae,NA
Hamamelidaceae,2,118.89808,130.66784,89.31329,94.16943,83.60062,98.44348,85.48535,104.24021,Saxifragales,Hamamelidaceae,NA
Hanguanaceae,2,34.36047,112.14234,30.61567,85.81387,8.77611,61.93114,69.25323,101.03866,Commelinales,Hanguanaceae,NA
Heliconiaceae,2,32.8066,90.68216,12.15042,69.30537,1.80048,28.40237,40.698,90.5888,Zingiberales,Heliconiaceae,NA
Heliotropiaceae,2,57.91925,86.98906,22.79737,40.60103,8.83861,39.56412,26.73585,54.10581,Boraginales,Heliotropiaceae,NA
Helwingiaceae,2,11.61347,86.0585,7.02433,44.09721,1.64568,14.51939,23.67904,71.94866,Aquifoliales,Helwingiaceae,NA
Hernandiaceae,2,102.00072,132.98848,44.88163,72.67797,21.15809,74.98904,42.38822,100.53666,Laurales,Hernandiaceae,NA
Himantandraceae,1,NA,132.6477,NA,86.11811,NA,NA,34.30718,118.56766,Magnoliales,Himantandraceae,NA
Hoplestigmataceae,1,NA,68.95084,NA,23.75561,NA,NA,10.73112,36.41795,Boraginales,Hoplestigmataceae,NA
Huaceae,2,28.1479,144.72905,28.02324,115.3003,9.07271,50.74754,104.49118,126.05732,Oxalidales,Huaceae,NA
Humiriaceae,2,57.82815,137.02633,26.71667,87.20452,5.82763,55.97155,70.53805,100.85339,Malpighiales,Humiriaceae,NA
Hydatellaceae,2,34.93477,154.229,43.30948,144.51819,14.78196,77.15169,132.55059,154.22904,Nymphaeales,Hydatellaceae,NA
Hydrangeaceae,2,91.56673,111.48562,32.21409,49.32275,11.21466,60.46976,29.86233,82.45977,Cornales,Hydrangeaceae,NA
Hydrocharitaceae,2,55.85467,87.67206,43.09868,68.96197,23.32755,70.16459,44.62495,99.3603,Alismatales,Hydrocharitaceae,NA
Hydroleaceae,2,9.61107,111.4941,10.207,66.02866,2.31487,19.71017,46.55439,84.68649,Solanales,Hydroleaceae,NA
Hydrophyllaceae,2,62.02682,93.33935,26.96001,51.34444,8.60766,45.93188,33.95119,73.60866,Boraginales,Hydrophyllaceae,NA
Hydrostachyaceae,2,29.37879,121.5024,22.49566,59.2871,7.73685,37.62682,39.96097,89.14469,Cornales,Hydrostachyaceae,NA
Hypericaceae,2,66.08825,93.85119,34.56077,63.58487,14.28513,53.47668,51.0908,80.15071,Malpighiales,Hypericaceae,NA
Hypoxidaceae,2,25.34277,83.4384,16.04904,40.1195,5.15333,29.35925,19.48113,65.22648,Asparagales,Hypoxidaceae,NA
Icacinaceae,2,135.53612,143.02635,97.21051,107.9478,72.33006,115.89322,89.78556,119.32956,Icacinales,Icacinaceae,NA
Iridaceae,11,89.9954,117.31694,68.44566,85.17755,53.63464,89.30307,72.64675,97.8288,Asparagales,Iridaceae,NA
Irvingiaceae,2,37.42333,134.63586,28.21743,86.22284,4.69057,50.32884,66.86647,101.53425,Malpighiales,Irvingiaceae,NA
Iteaceae,2,109.93804,132.98378,52.99738,76.40927,23.85633,78.24189,55.28409,98.15539,Saxifragales,Iteaceae,NA
Ixioliriaceae,2,10.90403,115.16782,12.06942,79.86701,2.13563,24.95498,58.22349,102.15797,Asparagales,Ixioliriaceae,NA
Ixonanthaceae,2,37.41504,135.60772,32.02027,89.43659,11.48176,56.90917,71.18656,105.20756,Malpighiales,Ixonanthaceae,NA
Joinvilleaceae,2,10.59065,98.14427,4.69299,90.09644,0.79352,10.30492,82.13697,97.93818,Poales,Joinvilleaceae,NA
Juglandaceae,2,64.4,89.81348,67.0482,76.46367,64.40003,72.5258,68.35419,86.50044,Fagales,Juglandaceae,NA
Juncaceae,2,60.84436,85.94914,40.9886,74.95363,12.62448,65.98578,58.99403,95.33597,Poales,Juncaceae,NA
Juncaginaceae,2,75.58215,82.72046,60.82887,79.61897,36.03761,82.08934,64.80765,98.04339,Alismatales,Juncaginaceae,NA
Kewaceae,2,6.54339,91.10631,9.28598,64.3969,1.49587,20.76956,52.47538,75.97963,Caryophyllales,Kewaceae,NA
Kirkiaceae,2,2.01746,89.76114,2.46007,61.78217,0.1669,6.7831,41.77867,82.27363,Sapindales,Kirkiaceae,NA
Koeberliniaceae,1,NA,95.13696,NA,58.47034,NA,NA,44.73843,74.27383,Brassicales,Koeberliniaceae,NA
Krameriaceae,1,NA,106.62819,NA,82.17597,NA,NA,50.61399,117.1372,Zygophyllales,Krameriaceae,NA
Lacistemataceae,2,21.38127,117.83697,12.53963,70.84918,3.06965,25.08819,54.88678,87.03482,Malpighiales,Lacistemataceae,NA
Lamiaceae,21,95.81999,115.1298,49.62376,60.1564,40.88476,57.02205,53.37794,66.43767,Lamiales,Lamiaceae,NA
Lanariaceae,1,NA,83.4384,NA,40.1195,NA,NA,19.48113,65.22648,Asparagales,Lanariaceae,NA
Lardizabalaceae,2,82.48862,127.34336,54.25238,105.90834,21.49738,94.07267,77.26459,132.85584,Ranunculales,Lardizabalaceae,NA
Lauraceae,11,130.01487,136.73295,61.32397,78.57307,37.06066,86.2292,48.87066,107.25253,Laurales,Lauraceae,NA
Lecythidaceae,2,92.6929,134.56754,55.79066,102.08328,17.80703,93.07707,89.96342,113.04357,Ericales,Lecythidaceae,NA
Lentibulariaceae,2,85.50954,115.59662,30.8842,57.35599,12.15474,46.98249,42.93708,68.50392,Lamiales,Lentibulariaceae,NA
Lepidobotryaceae,2,20.96587,118.98809,21.79439,90.74547,4.79167,42.65455,70.72685,111.91069,Celastrales,Lepidobotryaceae,NA
Liliaceae,2,77.35531,100.9735,53.06462,74.17449,31.24946,74.08612,60.15221,89.17605,Liliales,Liliaceae,NA
Limeaceae,2,43.44268,99.25041,26.40841,71.08565,8.07581,51.68803,58.56904,84.32907,Caryophyllales,Limeaceae,NA
Limnanthaceae,2,22.02474,112.6759,21.68951,78.29222,6.19321,41.20238,66.76773,91.11548,Brassicales,Limnanthaceae,NA
Linaceae,2,72.01688,133.4781,39.39355,84.01999,18.35785,66.84698,65.71623,100.35947,Malpighiales,Linaceae,NA
Linderniaceae,2,104.00179,118.89966,50.22395,67.52821,28.92051,67.25617,61.27338,74.83112,Lamiales,Linderniaceae,NA
Loasaceae,2,79.25083,111.48562,28.66758,49.32275,10.25066,54.60556,29.86233,82.45977,Cornales,Loasaceae,NA
Loganiaceae,2,95.22032,112.24995,51.05933,73.6113,22.17903,73.32905,59.61409,85.02933,Gentianales,Loganiaceae,NA
Lophiocarpaceae,2,69.89946,92.56289,41.83466,66.93001,15.52311,65.55434,54.687,78.26019,Caryophyllales,Lophiocarpaceae,NA
Lophopyxidaceae,1,NA,106.27879,NA,59.6362,NA,NA,28.36402,84.79152,Malpighiales,Lophopyxidaceae,NA
Loranthaceae,2,53.89323,138.16691,38.22657,95.86871,12.63372,64.91083,80.09752,111.74965,Santalales,Loranthaceae,NA
Lowiaceae,2,7.6771,79.03975,7.78465,52.26524,1.30495,17.67302,29.09282,75.65917,Zingiberales,Lowiaceae,NA
Lythraceae,2,52.91212,86.57934,34.48515,61.19796,16.06455,55.04286,37.28278,84.9097,Myrtales,Lythraceae,NA
Macarthuriaceae,2,3.3491,102.71929,4.48785,81.94432,0.26912,11.80114,58.66087,102.21643,Caryophyllales,Macarthuriaceae,NA
Magnoliaceae,2,93.55065,139.6884,29.69758,112.73429,5.6646,71.36534,99.79431,123.87722,Magnoliales,Magnoliaceae,NA
Malpighiaceae,3,55.82964,120.21117,44.14237,78.31657,25.06501,66.52025,52.74803,100.53834,Malpighiales,Malpighiaceae,NA
Malvaceae,17,77.60992,123.34464,43.05199,73.42959,29.76247,56.10081,59.1727,88.41571,Malvales,Malvaceae,NA
Marantaceae,2,48.08371,76.47176,33.24016,57.64155,12.5111,55.76184,38.07995,75.54753,Zingiberales,Marantaceae,NA
Marcgraviaceae,2,48.82357,73.1531,20.96038,47.39455,5.90367,39.73036,25.87827,75.16547,Ericales,Marcgraviaceae,NA
Martyniaceae,2,46.29634,110.39363,14.72526,39.6073,3.70195,28.593,25.98712,57.90842,Lamiales,Martyniaceae,NA
Maundiaceae,1,NA,74.04189,NA,70.02318,NA,NA,55.82134,85.49335,Alismatales,Maundiaceae,NA
Mayacaceae,2,13.77978,130.38224,19.42144,110.56658,5.292,36.57762,102.21278,117.85643,Poales,Mayacaceae,NA
Mazaceae,2,65.16191,114.06715,29.96373,58.02022,11.79128,48.81347,51.29247,65.21455,Lamiales,Mazaceae,NA
Melanthiaceae,2,107.35567,138.62127,60.47693,105.0681,30.55535,89.30295,90.8085,121.74124,Liliales,Melanthiaceae,NA
Melastomataceae,4,44.91561,81.98183,41.8809,67.43674,22.54049,59.24598,48.58418,88.02751,Myrtales,Melastomataceae,NA
Meliaceae,2,41.4349,73.77196,30.51614,57.95077,11.64145,52.71374,43.23788,73.44864,Sapindales,Meliaceae,NA
Menispermaceae,3,80.02658,128.55907,83.16529,111.06688,67.07471,99.75087,92.5653,128.43401,Ranunculales,Menispermaceae,NA
Menyanthaceae,2,91.45425,113.39626,53.18738,85.69478,29.00232,77.57123,79.96657,92.47325,Asterales,Menyanthaceae,NA
Metteniusaceae,2,NA,NA,NA,NA,NA,NA,NA,NA,Metteniusales,Metteniusaceae,NA
Microteaceae,2,52.59658,102.71929,37.97588,81.94432,14.21954,63.70169,58.66087,102.21643,Caryophyllales,Microteaceae,NA
Misodendraceae,2,70.62157,129.35225,41.39189,80.94871,13.17282,65.74148,56.87497,101.99469,Santalales,Misodendraceae,NA
Mitrastemonaceae,2,6.54606,115.92184,16.17473,63.91147,4.31124,30.29805,42.75562,85.93738,Ericales,Mitrastemonaceae,NA
Molluginaceae,2,83.80711,94.44624,45.21755,62.59128,30.31238,59.28954,50.44601,74.97573,Caryophyllales,Molluginaceae,NA
Monimiaceae,2,107.67287,132.98848,48.70041,72.67797,20.00048,81.37852,42.38822,100.53666,Laurales,Monimiaceae,NA
Montiaceae,2,66.23194,76.78869,32.85182,48.37376,10.59335,49.04404,36.96024,60.6567,Caryophyllales,Montiaceae,NA
Montiniaceae,2,59.54287,128.17845,49.98636,85.1819,21.74281,76.38622,72.7389,97.00554,Solanales,Montiniaceae,NA
Moraceae,2,58.27904,87.08726,37.9272,65.40092,18.74312,58.58659,51.1083,79.96432,Rosales,Moraceae,NA
Moringaceae,2,35.22714,102.44948,16.9725,61.7588,2.2695,36.09518,32.98012,84.63664,Brassicales,Moringaceae,NA
Muntingiaceae,2,112.4078,112.53484,39.25435,55.11278,17.48476,60.98669,38.0748,72.00784,Malvales,Muntingiaceae,NA
Musaceae,2,54.61147,93.57297,34.88259,77.82977,11.81297,63.78994,63.00126,93.33202,Zingiberales,Musaceae,NA
Myodocarpaceae,2,39.33803,88.18346,22.60342,50.62371,7.30062,41.83597,39.16769,63.29431,Apiales,Myodocarpaceae,NA
