,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Alzateaceae,1,NA,39.70095,NA,41.18427,NA,NA,19.58911,64.5788,Myrtales,Alzateaceae,NA
Amaranthaceae,18,74.1545,89.66736,72.31384,85.67541,60.15558,85.07337,74.26368,98.57434,Caryophyllales,Amaranthaceae,NA
Amaryllidaceae,3,82.19493,92.65784,50.83704,65.05836,36.96651,66.63992,55.00538,75.21697,Asparagales,Amaryllidaceae,NA
Amborellaceae,1,NA,154.2291,NA,154.05663,NA,NA,153.71601,154.22944,Amborellales,Amborellaceae,NA
Anacampserotaceae,2,51.07036,61.5134,21.35577,32.46421,11.61288,31.68564,21.40904,42.50141,Caryophyllales,Anacampserotaceae,NA
Anacardiaceae,2,70.11765,85.48655,62.18159,81.4972,47.87487,78.57847,72.10058,95.05536,Sapindales,Anacardiaceae,NA
Ancistrocladaceae,2,13.14532,60.4905,17.53758,39.41441,1.88706,39.07894,18.78985,60.12455,Caryophyllales,Ancistrocladaceae,NA
Anisophylleaceae,2,72.65644,135.2569,47.91548,87.12426,14.61819,74.69762,68.23312,105.56435,Cucurbitales,Anisophylleaceae,NA
Annonaceae,7,79.65531,110.22368,67.05013,93.43258,47.67345,83.60587,74.44469,114.36978,Magnoliales,Annonaceae,NA
Aphanopetalaceae,2,12.49243,91.69843,14.45017,84.04745,2.16489,33.4397,75.30279,93.93159,Saxifragales,Aphanopetalaceae,NA
Aphloiaceae,2,17.63551,128.15314,18.77401,85.01754,2.78868,40.47835,56.11057,111.68959,Crossosomatales,Aphloiaceae,NA
Apiaceae,11,85.48575,87.69177,65.30857,70.1042,55.20058,77.36985,66.00051,77.61329,Apiales,Apiaceae,NA
Apocynaceae,8,93.19816,111.57096,69.05986,87.13512,51.9346,84.71823,73.0639,99.89047,Gentianales,Apocynaceae,NA
Apodanthaceae,2,68.47942,135.2569,47.88001,87.12426,29.15732,71.41916,68.23312,105.56435,Cucurbitales,Apodanthaceae,NA
Aponogetonaceae,2,29.43301,107.64611,19.66615,113.02039,1.77373,47.93711,100.47713,126.39036,Alismatales,Aponogetonaceae,NA
Aptandraceae,2,114.972,144.55494,71.61225,113.79489,32.03256,103.92298,94.66787,130.27256,Santalales,Aptandraceae,NA
Aquifoliaceae,2,13.94575,92.27157,10.54475,76.81194,2.24556,22.32945,61.60196,96.63982,Aquifoliales,Aquifoliaceae,NA
Araceae,15,139.14074,146.10074,133.34229,138.32269,129.13989,136.7742,134.60223,141.87,Alismatales,Araceae,NA
Araliaceae,2,71.13901,90.96513,52.53721,73.79721,41.26217,65.95534,66.90433,83.03546,Apiales,Araliaceae,NA
Arecaceae,10,93.11151,136.5572,95.5713,118.31816,79.10531,112.53354,105.24334,129.41302,Arecales,Arecaceae,NA
Argophyllaceae,2,39.31068,110.94574,17.96445,68.22223,5.5215,34.28558,35.93784,97.81607,Asterales,Argophyllaceae,NA
Aristolochiaceae,4,136.24974,138.67485,117.20776,127.59845,97.83647,133.02021,114.99038,138.85163,Piperales,Aristolochiaceae,NA
Asparagaceae,13,90.33452,92.65784,61.27289,65.05836,50.63957,70.81751,55.00538,75.21697,Asparagales,Asparagaceae,NA
