,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Euphroniaceae,1,NA,127.12729,NA,96.7575,NA,NA,74.69521,112.73181,Malpighiales,Euphroniaceae,NA
Eupomatiaceae,2,39.24372,159.63325,27.07614,113.83869,4.65223,55.07538,92.50933,136.43505,Magnoliales,Eupomatiaceae,NA
Eupteleaceae,2,26.93514,221.4645,13.88378,200.51755,3.91898,30.70201,174.92712,224.18031,Ranunculales,Eupteleaceae,NA
Fabaceae,12,137.24172,166.75774,117.38071,137.65266,93.43834,141.79363,112.81984,162.86252,Fabales,Fabaceae,NA
Fagaceae,2,108.20822,149.04869,87.03615,129.32647,47.63805,120.84024,110.54978,149.03095,Fagales,Fagaceae,NA
Flagellariaceae,2,69.81691,164.87611,40.90698,130.1367,6.60571,76.55055,116.79004,143.2556,Poales,Flagellariaceae,NA
Fouquieriaceae,2,39.29647,197.77846,14.43366,139.77707,5.07522,28.19163,119.51381,161.68838,Ericales,Fouquieriaceae,NA
Francoaceae,2,186.08095,223.01947,127.02855,173.35003,85.97284,165.43071,149.08949,197.27842,Geraniales,Francoaceae,NA
Frankeniaceae,2,15.6993,106.99346,21.60463,71.8777,6.83847,40.30735,33.43174,116.54252,Caryophyllales,Frankeniaceae,NA
Garryaceae,2,56.06075,171.14631,25.17334,99.60475,11.63354,44.97548,50.15419,147.91341,Garryales,Garryaceae,NA
Geissolomataceae,1,NA,158.53934,NA,74.8129,NA,NA,38.20791,108.41769,Crossosomatales,Geissolomataceae,NA
Gelsemiaceae,2,104.80158,170.5878,56.01126,106.70294,24.01321,92.51527,80.94328,127.33144,Gentianales,Gelsemiaceae,NA
Gentianaceae,7,135.96731,171.2818,88.70269,112.41249,64.11894,106.77487,97.59443,126.24409,Gentianales,Gentianaceae,NA
Geraniaceae,2,138.08229,223.01947,107.89985,173.35003,71.64612,154.40039,149.08949,197.27842,Geraniales,Geraniaceae,NA
Gerrardinaceae,1,NA,173.40676,NA,96.22109,NA,NA,51.9339,152.78046,Huerteales,Gerrardinaceae,NA
Gesneriaceae,5,163.56901,177.43447,78.17339,94.50632,52.90422,99.67206,74.0737,115.18353,Lamiales,Gesneriaceae,NA
Ginkgoaceae,1,NA,246.06288,NA,149.32246,NA,NA,101.6073,209.85575,Ginkgoales,Ginkgoaceae,NA
Gisekiaceae,2,3.09055,113.38533,7.53585,89.8517,1.18258,18.69343,79.81967,99.04644,Caryophyllales,Gisekiaceae,NA
Gnetaceae,1,NA,210.60933,NA,192.81281,NA,NA,135.28964,238.37353,Gnetales,Gnetaceae,NA
Gomortegaceae,1,NA,149.92248,NA,92.52831,NA,NA,52.93178,123.90871,Laurales,Gomortegaceae,NA
Goodeniaceae,2,112.32582,127.87269,60.10488,84.3861,42.60319,78.71759,75.01023,94.85911,Asterales,Goodeniaceae,NA
Goupiaceae,1,NA,206.06992,NA,120.74656,NA,NA,95.62312,144.43487,Malpighiales,Goupiaceae,NA
Griseliniaceae,2,105.71272,162.34087,42.78274,110.60441,8.02437,94.57389,95.19414,127.7274,Apiales,Griseliniaceae,NA
Grossulariaceae,2,31.09632,193.64354,24.36227,93.4141,8.417,47.6023,68.33759,121.2539,Saxifragales,Grossulariaceae,NA
Grubbiaceae,2,53.10174,143.08336,25.75202,76.26752,8.1005,46.61211,39.45557,110.09617,Cornales,Grubbiaceae,NA
Guamatelaceae,1,NA,101.39212,NA,68.49628,NA,NA,33.75706,103.83149,Crossosomatales,Guamatelaceae,NA
Gunneraceae,2,74.32594,211.53494,51.39772,137.53553,17.7523,85.61309,87.11663,207.72239,Gunnerales,Gunneraceae,NA
Gyrostemonaceae,2,16.15822,110.35527,18.41975,73.25829,5.07667,35.26747,45.01994,94.09032,Brassicales,Gyrostemonaceae,NA
Haemodoraceae,2,141.25922,163.88171,85.71564,116.47658,42.16902,124.6976,86.87604,140.81458,Commelinales,Haemodoraceae,NA
Halophytaceae,1,NA,74.58453,NA,56.73112,NA,NA,38.89114,78.75909,Caryophyllales,Halophytaceae,NA
Haloragaceae,2,50.70902,108.10666,37.08898,79.73086,17.4835,61.54554,72.10076,91.63887,Saxifragales,Haloragaceae,NA
Hamamelidaceae,2,179.91622,196.23888,98.81023,111.39955,83.6024,128.34684,84.99349,146.16356,Saxifragales,Hamamelidaceae,NA
Hanguanaceae,2,58.07741,172.8117,44.56906,128.94807,11.41367,75.06536,101.41704,156.30044,Commelinales,Hanguanaceae,NA
Heliconiaceae,2,42.93803,118.53954,14.35398,103.58079,2.96065,29.48893,74.88367,132.90234,Zingiberales,Heliconiaceae,NA
Heliotropiaceae,2,75.85268,117.4366,43.33808,72.87988,10.42199,72.66041,56.07859,92.58804,Boraginales,Heliotropiaceae,NA
Helwingiaceae,2,21.7693,133.22501,11.78388,74.38696,2.7204,22.91962,51.61409,98.45216,Aquifoliales,Helwingiaceae,NA
Hernandiaceae,2,122.2951,162.88159,74.37877,111.1312,43.75658,109.17974,83.57652,139.07335,Laurales,Hernandiaceae,NA
Himantandraceae,1,NA,156.15653,NA,103.2972,NA,NA,65.03856,133.82079,Magnoliales,Himantandraceae,NA
Hoplestigmataceae,1,NA,93.03122,NA,42.49831,NA,NA,22.6701,63.87267,Boraginales,Hoplestigmataceae,NA
Huaceae,2,43.07703,226.23259,30.72487,174.95337,9.2807,63.59765,154.85706,190.37946,Oxalidales,Huaceae,NA
Humiriaceae,2,86.19068,210.71505,55.13555,137.72284,33.90763,91.9061,118.95898,156.97067,Malpighiales,Humiriaceae,NA
Hydatellaceae,2,45.5073,200.50906,90.41164,203.38237,52.16931,130.18346,167.01672,226.95785,Nymphaeales,Hydatellaceae,NA
Hydrangeaceae,2,132.73658,164.69979,69.74669,83.79219,56.02585,85.80986,67.90783,103.58927,Cornales,Hydrangeaceae,NA
Hydrocharitaceae,2,95.74526,141.66282,85.27907,126.20712,56.07952,118.35406,96.04245,162.01323,Alismatales,Hydrocharitaceae,NA
Hydroleaceae,2,14.80972,174.24891,16.2637,107.3251,6.0771,30.29338,76.70394,135.01954,Solanales,Hydroleaceae,NA
Hydrophyllaceae,2,84.49236,130.56517,48.20606,84.77181,17.69629,75.76792,65.62324,106.42449,Boraginales,Hydrophyllaceae,NA
Hydrostachyaceae,2,51.47233,183.0996,41.12441,96.89653,25.67159,56.89333,80.45895,117.57888,Cornales,Hydrostachyaceae,NA
Hypericaceae,2,102.90484,144.69971,54.64411,84.81135,37.08431,74.1172,72.72685,97.90469,Malpighiales,Hypericaceae,NA
Hypoxidaceae,2,31.83056,112.82006,27.00334,62.44299,11.21161,45.00789,44.69137,82.82307,Asparagales,Hypoxidaceae,NA
Icacinaceae,2,212.70596,224.25783,132.52999,169.94576,67.60515,176.26681,150.35547,184.45742,Icacinales,Icacinaceae,NA
Iridaceae,11,125.32907,164.92504,102.44631,124.08976,82.54991,121.74199,109.14341,143.63954,Asparagales,Iridaceae,NA
Irvingiaceae,2,56.66925,208.05256,49.01066,132.79917,23.43516,79.28253,98.89797,155.90028,Malpighiales,Irvingiaceae,NA
Iteaceae,2,163.50913,207.40165,73.43067,108.30066,48.07408,102.43059,78.58549,132.2795,Saxifragales,Iteaceae,NA
Ixioliriaceae,2,15.60633,163.82619,19.6864,109.4741,4.85119,41.26119,70.94727,141.11502,Asparagales,Ixioliriaceae,NA
Ixonanthaceae,2,60.04182,211.51924,49.18545,133.07548,17.81263,81.47967,103.84754,158.39537,Malpighiales,Ixonanthaceae,NA
Joinvilleaceae,2,12.94539,122.8962,5.81251,116.71139,0.6819,12.0443,107.65279,129.0435,Poales,Joinvilleaceae,NA
Juglandaceae,2,64.4,106.15123,72.69771,98.79324,64.40383,86.2462,79.98428,116.04037,Fagales,Juglandaceae,NA
Juncaceae,2,102.21495,137.16791,73.23596,112.964,43.77121,103.11849,86.59003,137.7208,Poales,Juncaceae,NA
Juncaginaceae,2,125.17593,137.82493,94.17651,130.0762,39.89491,137.99477,111.37377,161.38212,Alismatales,Juncaginaceae,NA
Kewaceae,2,9.30415,127.51791,13.88739,105.38248,2.24248,29.5623,93.83464,116.85022,Caryophyllales,Kewaceae,NA
Kirkiaceae,2,2.4282,136.57345,4.36525,114.03437,0.24241,12.14175,85.9157,143.01171,Sapindales,Kirkiaceae,NA
Koeberliniaceae,1,NA,145.82224,NA,99.9916,NA,NA,73.31392,130.44283,Brassicales,Koeberliniaceae,NA
Krameriaceae,1,NA,170.21879,NA,119.95726,NA,NA,72.45065,164.61148,Zygophyllales,Krameriaceae,NA
Lacistemataceae,2,27.36705,178.36401,18.871,115.74375,4.12289,42.63738,97.06594,134.91987,Malpighiales,Lacistemataceae,NA
Lamiaceae,21,142.65175,175.48934,73.17256,87.49754,62.85803,83.12513,75.60051,97.27001,Lamiales,Lamiaceae,NA
Lanariaceae,1,NA,112.82006,NA,62.44299,NA,NA,44.69137,82.82307,Asparagales,Lanariaceae,NA
Lardizabalaceae,2,130.01566,197.35224,63.73806,159.04306,41.20517,111.39074,112.10647,195.23723,Ranunculales,Lardizabalaceae,NA
Lauraceae,11,157.05125,167.66546,90.20981,120.62459,62.56088,114.44562,107.70546,141.4325,Laurales,Lauraceae,NA
Lecythidaceae,2,145.73276,211.93524,96.9928,146.73107,55.34271,134.39374,122.69286,166.19756,Ericales,Lecythidaceae,NA
Lentibulariaceae,2,126.37876,175.43088,41.26033,83.3583,28.94699,61.55225,64.76317,98.008,Lamiales,Lentibulariaceae,NA
Lepidobotryaceae,2,32.43241,187.00078,33.78229,138.79027,11.70224,59.68516,114.2745,158.81268,Celastrales,Lepidobotryaceae,NA
Liliaceae,2,106.96896,134.05209,69.40617,97.02151,32.7609,111.80185,62.39481,131.04245,Liliales,Liliaceae,NA
Limeaceae,2,60.4402,144.11351,44.83154,114.4617,15.98559,96.61464,100.38776,127.44364,Caryophyllales,Limeaceae,NA
Limnanthaceae,2,36.56795,175.88313,36.30439,133.83134,8.39492,67.55235,116.28573,154.09253,Brassicales,Limnanthaceae,NA
Linaceae,2,110.23398,206.45579,38.98908,125.01872,14.54823,65.72013,103.17839,149.45028,Malpighiales,Linaceae,NA
Linderniaceae,2,159.04668,182.28991,72.05005,98.55969,47.80105,98.48337,87.59218,108.40407,Lamiales,Linderniaceae,NA
Loasaceae,2,113.60267,164.69979,48.59893,83.79219,21.89151,79.02039,67.90783,103.58927,Cornales,Loasaceae,NA
Loganiaceae,2,145.4877,171.2818,82.02051,112.41249,47.16979,110.47179,97.59443,126.24409,Gentianales,Loganiaceae,NA
Lophiocarpaceae,2,96.02039,130.07733,64.79876,108.79651,33.31281,101.07317,96.65041,119.54955,Caryophyllales,Lophiocarpaceae,NA
Lophopyxidaceae,1,NA,165.24856,NA,100.2355,NA,NA,61.85415,142.00566,Malpighiales,Lophopyxidaceae,NA
Loranthaceae,2,83.81706,219.9737,61.38391,149.35253,18.09322,100.70097,126.73334,169.94601,Santalales,Loranthaceae,NA
Lowiaceae,2,9.84037,99.80973,11.97409,85.40327,1.20546,27.47303,52.45872,116.6842,Zingiberales,Lowiaceae,NA
Lythraceae,2,85.98657,136.68722,82.74421,112.00387,72.10018,106.53146,87.71137,144.51068,Myrtales,Lythraceae,NA
Macarthuriaceae,2,5.85579,152.87244,6.91504,130.54631,0.33555,18.04822,105.68184,151.77194,Caryophyllales,Macarthuriaceae,NA
Magnoliaceae,2,113.48461,174.52425,47.60603,127.48374,12.05691,95.82861,109.31784,146.53056,Magnoliales,Magnoliaceae,NA
Malpighiaceae,3,87.74565,187.51046,68.1485,120.14382,40.01085,101.6598,92.14973,146.5259,Malpighiales,Malpighiaceae,NA
Malvaceae,17,102.91701,197.66923,82.42464,120.39136,71.26301,95.15017,103.25553,139.25752,Malvales,Malvaceae,NA
Marantaceae,2,66.67483,104.86992,45.31052,79.47285,18.37401,75.46621,57.59997,112.20101,Zingiberales,Marantaceae,NA
Marcgraviaceae,2,77.07173,118.53573,41.61286,82.55118,17.17391,71.78199,50.9248,106.71228,Ericales,Marcgraviaceae,NA
Martyniaceae,2,63.02636,162.49158,26.03213,65.85752,7.3159,48.28501,46.85793,87.20065,Lamiales,Martyniaceae,NA
Maundiaceae,1,NA,127.33228,NA,114.49563,NA,NA,94.54395,143.08208,Alismatales,Maundiaceae,NA
Mayacaceae,2,20.94209,200.12907,33.63757,154.99859,6.72172,63.13516,142.63312,165.60265,Poales,Mayacaceae,NA
Mazaceae,2,94.19814,173.48178,39.13385,84.30922,15.71905,61.67249,72.6379,94.75573,Lamiales,Mazaceae,NA
Melanthiaceae,2,157.69546,205.72289,98.02315,154.38026,58.48217,139.86242,130.93783,175.07103,Liliales,Melanthiaceae,NA
Melastomataceae,4,77.54654,133.26289,60.0522,116.529,39.39181,86.8593,87.15416,144.84793,Myrtales,Melastomataceae,NA
Meliaceae,2,64.52919,115.98273,72.56928,110.38147,47.81296,99.52768,93.21289,130.39823,Sapindales,Meliaceae,NA
Menispermaceae,3,108.20468,197.03669,108.40373,165.68929,77.70018,158.84623,138.49131,196.02267,Ranunculales,Menispermaceae,NA
Menyanthaceae,2,140.71897,173.64671,68.06262,99.20823,40.03472,96.82519,85.4729,113.17686,Asterales,Menyanthaceae,NA
Metteniusaceae,2,NA,NA,NA,NA,NA,NA,NA,NA,Metteniusales,Metteniusaceae,NA
Microteaceae,2,83.9663,152.87244,63.69776,130.54631,28.30184,102.55976,105.68184,151.77194,Caryophyllales,Microteaceae,NA
Misodendraceae,2,107.34027,202.84565,70.67902,129.61158,24.16966,106.4922,102.37909,154.57214,Santalales,Misodendraceae,NA
Mitrastemonaceae,2,9.03692,186.05595,21.11732,95.29768,6.65161,41.15945,70.67086,120.27442,Ericales,Mitrastemonaceae,NA
Molluginaceae,2,120.40552,134.90933,71.97254,100.99135,44.19521,97.19858,88.03485,116.62025,Caryophyllales,Molluginaceae,NA
Monimiaceae,2,132.64319,162.88159,83.3323,111.1312,52.54979,112.78768,83.57652,139.07335,Laurales,Monimiaceae,NA
Montiaceae,2,79.16146,93.59056,51.70384,75.8404,26.27014,81.12995,59.45861,92.57382,Caryophyllales,Montiaceae,NA
Montiniaceae,2,86.86834,200.49878,60.3401,133.75269,29.00267,89.36599,109.62549,154.54667,Solanales,Montiniaceae,NA
Moraceae,2,91.31254,134.34213,63.41146,96.76618,47.80008,82.58331,82.459,111.48169,Rosales,Moraceae,NA
Moringaceae,2,50.2137,156.58669,26.76406,103.30461,6.17204,53.46419,56.97454,139.0225,Brassicales,Moringaceae,NA
Muntingiaceae,2,178.1754,178.39542,74.27216,93.03435,43.09087,106.24498,68.00273,122.31813,Malvales,Muntingiaceae,NA
Musaceae,2,74.86509,126.4738,54.13315,108.5532,17.59806,88.26274,82.45621,130.456,Zingiberales,Musaceae,NA
Myodocarpaceae,2,64.46323,138.65023,32.78449,82.27498,12.17051,56.65407,68.70867,94.48642,Apiales,Myodocarpaceae,NA
Myricaceae,2,69.75543,106.15123,55.92462,98.79324,16.8875,88.16622,79.98428,116.04037,Fagales,Myricaceae,NA
Myristicaceae,2,25.94291,209.36676,27.42904,160.09844,5.49481,51.04631,128.54998,200.81448,Magnoliales,Myristicaceae,NA
