,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Campynemataceae,2,116.62116,135.63682,64.39496,98.50489,31.94856,100.8724,72.54575,124.65213,Liliales,Campynemataceae,NA
Canellaceae,2,46.57587,127.54388,44.88916,131.62556,18.91577,77.83283,125.0017,140.11077,Canellales,Canellaceae,NA
Cannabaceae,2,79.47717,91.31689,73.85741,84.1108,66.00506,85.52386,74.14022,95.04516,Rosales,Cannabaceae,NA
Cannaceae,2,9.08805,78.01723,8.60347,64.82017,1.2598,18.46479,40.52124,91.4113,Zingiberales,Cannaceae,NA
Capparaceae,2,53.34449,62.34424,40.43351,59.79954,12.41138,57.37318,48.38384,76.70025,Brassicales,Capparaceae,NA
Caprifoliaceae,8,76.53043,124.20116,55.205,82.83412,42.68584,69.67327,59.15946,99.59125,Dipsacales,Caprifoliaceae,NA
Cardiopteridaceae,2,99.27209,119.07478,59.05325,87.2363,34.16196,85.84185,65.32427,107.52568,Aquifoliales,Cardiopteridaceae,NA
Caricaceae,2,40.12613,106.33425,29.17953,80.63234,8.13723,55.05011,53.35727,104.55189,Brassicales,Caricaceae,NA
Carlemanniaceae,2,48.91512,97.01014,24.52929,61.85637,6.44317,50.42309,38.25077,86.20623,Lamiales,Carlemanniaceae,NA
Caryocaraceae,2,29.09921,136.28242,29.14589,101.25233,6.82843,55.74213,82.13312,117.49942,Malpighiales,Caryocaraceae,NA
Caryophyllaceae,12,84.19815,101.27644,85.47792,99.82949,70.47111,98.99156,90.61996,111.13304,Caryophyllales,Caryophyllaceae,NA
Casuarinaceae,2,32.56417,89.37104,28.21255,90.73623,8.95533,55.42677,85.07786,98.36422,Fagales,Casuarinaceae,NA
Celastraceae,4,95.27086,118.4742,77.92149,103.34996,56.52903,100.98927,83.33884,126.00377,Celastrales,Celastraceae,NA
Centroplacaceae,2,115.63389,142.25726,69.8725,118.95867,28.97371,114.42381,110.73068,127.77929,Malpighiales,Centroplacaceae,NA
Cephalotaceae,1,NA,93.2549,NA,86.90477,NA,NA,80.70037,96.6943,Oxalidales,Cephalotaceae,NA
Ceratophyllaceae,2,11.2554,154.229,21.30475,153.91562,6.50496,44.39037,153.29678,154.22909,Ceratophyllales,Ceratophyllaceae,NA
Cercidiphyllaceae,2,31.36785,119.32601,6.4872,85.17922,1.20653,14.73629,58.18341,104.59082,Saxifragales,Cercidiphyllaceae,NA
Chloranthaceae,2,123,154.229,131.48289,153.65175,123.01065,140.17161,152.55788,154.22905,Chloranthales,Chloranthaceae,NA
Chrysobalanaceae,2,48.98085,83.02651,53.73936,71.48196,48.50626,61.47894,58.95808,86.67371,Malpighiales,Chrysobalanaceae,NA
Circaeasteraceae,2,72.05868,129.87769,50.06624,112.26578,21.15621,85.55421,93.1427,130.11118,Ranunculales,Circaeasteraceae,NA
Cistaceae,2,47.90896,68.25652,35.3072,56.36715,15.94975,58.08342,36.90666,73.14188,Malvales,Cistaceae,NA
Cleomaceae,2,48.1467,54.09805,37.49435,49.90249,24.54602,51.20337,40.58997,59.80621,Brassicales,Cleomaceae,NA
Clethraceae,2,109.63715,125.19959,61.69899,99.91423,14.24133,94.59342,92.04739,110.04686,Ericales,Clethraceae,NA
Clusiaceae,2,44.42398,113.91302,52.34252,96.60396,41.20255,71.14364,86.30159,107.39438,Malpighiales,Clusiaceae,NA
Codonaceae,2,10.78216,86.28927,8.88812,71.82574,1.92367,19.75729,53.23021,92.61005,Boraginales,Codonaceae,NA
Colchicaceae,2,52.44272,96.24036,42.77164,74.55774,16.6296,63.10781,49.8213,96.44582,Liliales,Colchicaceae,NA
Coldeniaceae,1,NA,69.41435,NA,38.61986,NA,NA,21.55368,53.36595,Boraginales,Coldeniaceae,NA
Columelliaceae,2,82.01032,130.89508,49.71305,95.07485,24.28795,80.24003,78.2065,108.1821,Bruniales,Columelliaceae,NA
Combretaceae,2,54.09669,119.08593,48.36765,112.4488,21.63169,84.88673,99.65321,124.7739,Myrtales,Combretaceae,NA
Commelinaceae,3,80.54181,112.75553,63.16964,93.89711,40.16032,86.28734,68.76813,115.36439,Commelinales,Commelinaceae,NA
Connaraceae,2,36.2118,70.67809,27.25227,56.51276,9.0972,47.06939,32.6502,80.21049,Oxalidales,Connaraceae,NA
