"","genus","richness","family","mico"
"3818","Acilepidopsis",1,"Compositae",NA
"3819","Acilepis",32,"Compositae",NA
"3820","Acmella",31,"Compositae","AM"
"3821","Acomis",4,"Compositae","EcM-AM"
"3822","Acourtia",84,"Compositae","AM"
"3823","Acrisione",1,"Compositae","AM"
"3824","Acritopappus",17,"Compositae","AM"
"3825","Actinea",1,"Compositae",NA
"3826","Actinella",2,"Compositae",NA
"3827","Actinobole",4,"Compositae","AM"
"3828","Actinoseris",1,"Compositae",NA
"3829","Actinospermum",1,"Compositae",NA
"3830","Adelostigma",2,"Compositae","AM"
"3831","Adenanthellum",1,"Compositae","AM"
"3832","Adenocaulon",5,"Compositae","AM"
"3833","Adenocritonia",3,"Compositae","AM"
"3834","Adenoglossa",1,"Compositae","AM"
"3835","Adenoon",1,"Compositae","AM"
"3836","Adenopappus",1,"Compositae",NA
"3837","Adenophyllum",10,"Compositae","AM"
"3838","Adenostemma",27,"Compositae","AM"
"3839","Adenostyles",10,"Compositae","uncertain"
"3840","Adenothamnus",1,"Compositae","AM"
"3841","Adopogon",1,"Compositae",NA
"3842","Aedesia",3,"Compositae","AM"
"3843","Aequatorium",23,"Compositae","AM"
"3844","Aetheolaena",18,"Compositae","AM"
"3845","Aetheorhiza",1,"Compositae","AM"
"3846","Ageratella",2,"Compositae","AM"
"3847","Ageratina",334,"Compositae","AM"
"3848","Ageratinastrum",5,"Compositae","AM"
"3849","Ageratum",51,"Compositae","AM"
"3850","Agnorhiza",5,"Compositae",NA
"3851","Agoseris",15,"Compositae","AM"
"3852","Agrianthus",9,"Compositae","AM"
"3853","Ainsliaea",68,"Compositae","AM"
"3854","Ajania",36,"Compositae","AM"
"3855","Ajaniopsis",1,"Compositae","AM"
"3856","Akeassia",1,"Compositae","AM"
"3857","Alatoseta",1,"Compositae","AM"
"3858","Albertinia",1,"Compositae","AM"
"3859","Alboviodoxa",1,"Compositae",NA
"3860","Aldama",2,"Compositae","AM"
"3861","Alepidocline",4,"Compositae","AM"
"3862","Alfredia",8,"Compositae","AM"
"3863","Aliella",3,"Compositae","AM"
"3864","Allagopappus",2,"Compositae","AM"
"3865","Allardia",2,"Compositae","AM"
"3866","Allittia",2,"Compositae","AM"
"3867","Alloispermum",16,"Compositae","AM"
"3868","Allopterigeron",1,"Compositae","AM"
"3869","Almutaster",1,"Compositae","AM"
"3870","Alomia",5,"Compositae","AM"
"3871","Alomiella",2,"Compositae","AM"
"3872","Alvordia",4,"Compositae","AM"
"3873","Amauria",3,"Compositae","AM"
"3874","Amauriopsis",1,"Compositae","AM"
"3875","Ambassa",1,"Compositae",NA
"3876","Amberboa",9,"Compositae","AM"
"3877","Amblyocarpum",1,"Compositae","AM"
"3878","Amblyolepis",1,"Compositae","AM"
"3879","Amblyopappus",1,"Compositae","AM"
"3880","Amblysperma",1,"Compositae","AM"
"3881","Amboroa",2,"Compositae","AM"
"3882","Ambrosia",51,"Compositae","AM"
"3883","Ameghinoa",1,"Compositae","AM"
"3884","Amellus",12,"Compositae","AM"
"3885","Ammobium",2,"Compositae","AM"
"3886","Amolinia",1,"Compositae","AM"
"3887","Ampelaster",1,"Compositae","AM"
"3888","Amphiachyris",2,"Compositae","AM"
"3889","Amphidoxa",1,"Compositae",NA
"3890","Amphiglossa",11,"Compositae","AM"
"3891","Amphipappus",1,"Compositae","AM"
"3892","Amphoricarpos",5,"Compositae","AM"
"3893","Anacantha",3,"Compositae",NA
"3894","Anacyclus",12,"Compositae","AM"
"3895","Anaphalioides",8,"Compositae","AM"
"3896","Anaphalis",113,"Compositae","AM"
"3897","Anastraphia",11,"Compositae",NA
"3898","Anaxeton",10,"Compositae","AM"
"3899","Ancathia",1,"Compositae","AM"
"3900","Ancistrocarphus",2,"Compositae","AM"
"3901","Anderbergia",6,"Compositae","AM"
"3902","Andryala",30,"Compositae","AM"
"3903","Anemocarpa",3,"Compositae","AM"
"3904","Angeldiazia",1,"Compositae",NA
"3905","Angelphytum",15,"Compositae",NA
"3906","Angianthus",19,"Compositae","EcM-AM"
"3907","Anisocarpus",2,"Compositae","AM"
"3908","Anisochaeta",1,"Compositae","AM"
"3909","Anisocoma",1,"Compositae","AM"
"3910","Anisopappus",38,"Compositae","AM"
"3911","Anisothrix",2,"Compositae","AM"
"3912","Antennaria",61,"Compositae","AM"
"3913","Anteremanthus",1,"Compositae","AM"
"3914","Anthematricaria",1,"Compositae",NA
"3915","Anthemimatricaria",3,"Compositae",NA
"3916","Anthemis",178,"Compositae","AM"
"3917","Antheropeas",2,"Compositae",NA
"3918","Antillanthus",17,"Compositae","AM"
"3919","Antillia",1,"Compositae","AM"
"3920","Antiphiona",2,"Compositae","AM"
"3921","Antithrixia",1,"Compositae","AM"
"3922","Anura",1,"Compositae",NA
"3923","Anvillea",2,"Compositae","AM"
"3924","Apalochlamys",1,"Compositae","AM"
"3925","Apargia",3,"Compositae",NA
"3926","Aphanactis",11,"Compositae","AM"
"3927","Aphanostephus",8,"Compositae","AM"
"3928","Aphyllocladus",5,"Compositae","AM"
"3929","Apodocephala",9,"Compositae","AM"
"3930","Apogon",1,"Compositae",NA
"3931","Apopyros",2,"Compositae","AM"
"3932","Aposeris",1,"Compositae","AM"
"3933","Apostates",1,"Compositae","AM"
"3934","Aracium",2,"Compositae",NA
"3935","Arbelaezaster",1,"Compositae","AM"
"3936","Archibaccharis",37,"Compositae","AM"
"3937","Arctanthemum",2,"Compositae","AM"
"3938","Arctium",19,"Compositae","AM"
"3939","Arctogeron",1,"Compositae","AM"
"3940","Arctotheca",5,"Compositae","AM"
"3941","Arctotis",70,"Compositae","AM"
"3942","Argentipallium",6,"Compositae","EcM-AM"
"3943","Argyranthemum",24,"Compositae","AM"
"3944","Argyrautia",1,"Compositae",NA
"3945","Argyroglottis",1,"Compositae","EcM-AM"
"3946","Argyrotegium",4,"Compositae","EcM-AM"
"3947","Argyroxiphium",6,"Compositae","AM"
"3948","Arida",9,"Compositae","AM"
"3949","Aristeguietia",19,"Compositae","AM"
"3950","Arnaldoa",3,"Compositae","AM"
"3951","Arnica",33,"Compositae","AM"
"3952","Arnicastrum",2,"Compositae","AM"
"3953","Arnoglossum",8,"Compositae","AM"
"3954","Arnoseris",1,"Compositae","AM"
"3955","Arrhenechthites",7,"Compositae","AM"
"3956","Arrojadocharis",2,"Compositae","AM"
"3957","Arrowsmithia",1,"Compositae","AM"
"3958","Artemisia",481,"Compositae","AM"
"3959","Artemisiella",1,"Compositae","AM"
"3960","Artemisiopsis",1,"Compositae","AM"
"3961","Asanthus",3,"Compositae","AM"
"3962","Ascaricida",1,"Compositae",NA
"3963","Ascidiogyne",2,"Compositae","AM"
"3964","Askellia",11,"Compositae",NA
"3965","Aspilia",107,"Compositae","AM"
"3966","Asplundianthus",11,"Compositae","AM"
"3967","Aster",234,"Compositae","AM"
"3968","Asteridea",10,"Compositae","EcM-AM"
"3969","Asteriscium",8,"Compositae","AM"
"3970","Asteriscus",10,"Compositae","AM"
"3971","Asteropsis",2,"Compositae","AM"
"3972","Asterothamnus",7,"Compositae","AM"
"3973","Astranthium",12,"Compositae","AM"
"3974","Athanasia",39,"Compositae","AM"
"3975","Atherotoma",1,"Compositae",NA
"3976","Athrixia",15,"Compositae","AM"
"3977","Athroisma",11,"Compositae","AM"
"3978","Atractylis",31,"Compositae","AM"
"3979","Atractylodes",8,"Compositae","AM"
"3980","Atrichantha",1,"Compositae","AM"
"3981","Atrichoseris",1,"Compositae","AM"
"3982","Aucklandia",1,"Compositae",NA
"3983","Austrobrickellia",3,"Compositae","AM"
"3984","Austrocritonia",4,"Compositae","AM"
"3985","Austroeupatorium",16,"Compositae","AM"
"3986","Austrosynotis",1,"Compositae","AM"
"3987","Avellara",1,"Compositae",NA
"3988","Axiniphyllum",6,"Compositae","AM"
"3989","Ayapana",17,"Compositae","AM"
"3990","Ayapanopsis",20,"Compositae","AM"
"3991","Aylacophora",1,"Compositae","AM"
"3992","Aynia",1,"Compositae",NA
"3993","Aztecaster",2,"Compositae","AM"
"3994","Baccharidastrum",1,"Compositae",NA
"3995","Baccharis",430,"Compositae","AM"
"3996","Baccharoides",23,"Compositae",NA
"3997","Badilloa",10,"Compositae","AM"
"3998","Baeriopsis",1,"Compositae","AM"
"3999","Bafutia",1,"Compositae","AM"
"4000","Bahia",13,"Compositae","AM"
"4001","Bahianthus",1,"Compositae","AM"
"4002","Bahiopsis",10,"Compositae","AM"
"4003","Baileya",3,"Compositae","AM"
"4004","Bajacalia",3,"Compositae","AM"
"4005","Balduina",3,"Compositae","AM"
"4006","Balsamorhiza",15,"Compositae","AM"
"4007","Baltimora",2,"Compositae","AM"
"4008","Barkhausia",2,"Compositae",NA
"4009","Barkleyanthus",1,"Compositae","AM"
"4010","Barnadesia",20,"Compositae","AM"
"4011","Barroetea",6,"Compositae","AM"
"4012","Barrosoa",12,"Compositae","AM"
"4013","Bartlettia",1,"Compositae","AM"
"4014","Bartlettina",38,"Compositae","AM"
"4015","Basedowia",1,"Compositae","AM"
"4016","Batopilasia",1,"Compositae","AM"
"4017","Bebbia",2,"Compositae","AM"
"4018","Bechium",2,"Compositae",NA
"4019","Bedfordia",3,"Compositae","AM"
"4020","Bejaranoa",2,"Compositae","AM"
"4021","Bellida",1,"Compositae","AM"
"4022","Bellidastrum",1,"Compositae","AM"
"4023","Bellis",14,"Compositae","AM"
"4024","Bellium",4,"Compositae","AM"
"4025","Belloa",11,"Compositae","AM"
"4026","Benitoa",1,"Compositae","AM"
"4027","Berardia",1,"Compositae","AM"
"4028","Berkheya",80,"Compositae","AM"
"4029","Berlandiera",8,"Compositae","AM"
"4030","Berroa",1,"Compositae","AM"
"4031","Berylsimpsonia",2,"Compositae","AM"
"4032","Bethencourtia",1,"Compositae","AM"
"4033","Bidens",249,"Compositae","AM"
"4034","Bigelowia",5,"Compositae","AM"
"4035","Biotia",1,"Compositae",NA
"4036","Bishopalea",1,"Compositae","AM"
"4037","Bishopanthus",1,"Compositae","AM"
"4038","Bishopiella",1,"Compositae","AM"
"4039","Bishovia",2,"Compositae","AM"
"4040","Blainvillea",10,"Compositae","AM"
"4041","Blakeanthus",2,"Compositae","AM"
"4042","Blakiella",1,"Compositae","AM"
"4043","Blanchetia",1,"Compositae","AM"
"4044","Blennosperma",4,"Compositae","AM"
"4045","Blennospora",3,"Compositae","EcM-AM"
"4046","Blepharipappus",3,"Compositae","AM"
"4047","Blepharispermum",16,"Compositae","AM"
"4048","Blepharizonia",2,"Compositae","AM"
"4049","Blumea",107,"Compositae","NM"
"4050","Blumeopsis",1,"Compositae","AM"
"4051","Boeberastrum",3,"Compositae","AM"
"4052","Boeberoides",1,"Compositae","AM"
"4053","Bolandia",2,"Compositae","AM"
"4054","Bolanosa",1,"Compositae","AM"
"4055","Bolocephalus",1,"Compositae",NA
"4056","Boltonia",6,"Compositae","AM"
"4057","Bombycilaena",2,"Compositae","AM"
"4058","Borrichia",4,"Compositae","AM"
"4059","Bothriocline",61,"Compositae","AM"
"4060","Brachanthemum",10,"Compositae","AM"
"4061","Brachionostylum",1,"Compositae","AM"
"4062","Brachyactis",2,"Compositae",NA
"4063","Brachyclados",3,"Compositae","AM"
"4064","Brachycome",1,"Compositae","AM"
"4065","Brachyglottis",38,"Compositae","AM"
"4066","Brachylaena",14,"Compositae","AM"
"4067","Brachyscome",78,"Compositae","AM"
"4068","Brachythrix",7,"Compositae","AM"
"4069","Bradburia",2,"Compositae",NA
"4070","Brasilia",1,"Compositae",NA
"4071","Breea",2,"Compositae",NA
"4072","Brenandendron",3,"Compositae","AM"
"4073","Brickellia",112,"Compositae","AM"
"4074","Brickelliastrum",1,"Compositae","AM"
"4075","Brintonia",1,"Compositae",NA
"4076","Brocchia",1,"Compositae","AM"
"4077","Bryomorphe",1,"Compositae","AM"
"4078","Bulbostylis",1,"Compositae","NM-AM"
"4079","Buphthalmum",2,"Compositae","AM"
"4080","Burkartia",1,"Compositae","AM"
"4081","Caatinganthus",2,"Compositae","AM"
"4082","Cabobanthus",2,"Compositae",NA
"4083","Cabreriella",2,"Compositae","AM"
"4084","Cacalia",7,"Compositae","AM"
"4085","Cacaliopsis",1,"Compositae","AM"
"4086","Cacosmia",3,"Compositae","AM"
"4087","Cadiscus",1,"Compositae","AM"
"4088","Caesulia",1,"Compositae","AM"
"4089","Calais",1,"Compositae",NA
"4090","Calanticaria",4,"Compositae","AM"
"4091","Calcitrapa",1,"Compositae",NA
"4092","Calea",152,"Compositae","AM"
"4093","Calendula",12,"Compositae","AM"
"4094","Calimeris",2,"Compositae",NA
"4095","Callicephalus",1,"Compositae","AM"
"4096","Callilepis",5,"Compositae","AM"
"4097","Callistephus",2,"Compositae","AM"
"4098","Calocephalus",9,"Compositae","AM"
"4099","Calomeria",2,"Compositae","EcM-AM"
"4100","Calopappus",1,"Compositae",NA
"4101","Calostephane",6,"Compositae","AM"
"4102","Calotesta",1,"Compositae","AM"
"4103","Calotis",27,"Compositae","AM"
"4104","Calycadenia",10,"Compositae","AM"
"4105","Calycoseris",2,"Compositae","AM"
"4106","Calyptocarpus",5,"Compositae","uncertain"
"4107","Camchaya",7,"Compositae",NA
"4108","Campovassouria",2,"Compositae","AM"
"4109","Camptacra",3,"Compositae","AM"
"4110","Campuloclinium",17,"Compositae","AM"
"4111","Canadanthus",1,"Compositae","AM"
"4112","Cancrinia",12,"Compositae","AM"
"4113","Cancriniella",1,"Compositae","AM"
"4114","Capelio",3,"Compositae","AM"
"4115","Cardopatium",2,"Compositae","AM"
"4116","Carduncellus",4,"Compositae","AM"
"4117","Carduocirsium",3,"Compositae",NA
"4118","Carduogalactites",1,"Compositae",NA
"4119","Carduus",130,"Compositae","AM"
"4120","Carlina",34,"Compositae","AM"
"4121","Carlquistia",1,"Compositae","AM"
"4122","Carminatia",3,"Compositae","AM"
"4123","Carpesium",24,"Compositae","AM"
"4124","Carphephorus",7,"Compositae","AM"
"4125","Carphochaete",6,"Compositae","AM"
"4126","Carramboa",7,"Compositae","AM"
"4127","Carterothamnus",1,"Compositae",NA
"4128","Carthamus",48,"Compositae","AM"
"4129","Cassinia",37,"Compositae","AM"
"4130","Castalis",1,"Compositae",NA
"4131","Castanedia",1,"Compositae",NA
"4132","Castrilanthemum",1,"Compositae","AM"
"4133","Castroviejoa",2,"Compositae",NA
"4134","Catamixis",1,"Compositae","AM"
"4135","Catananche",5,"Compositae","AM"
"4136","Catatia",2,"Compositae","AM"
"4137","Catolesia",2,"Compositae","AM"
"4138","Caucasalia",4,"Compositae","AM"
"4139","Cavalcantia",2,"Compositae","AM"
"4140","Cavea",1,"Compositae","AM"
"4141","Caxamarca",1,"Compositae","AM"
"4142","Celmearia",1,"Compositae",NA
"4143","Celmisia",79,"Compositae","AM"
"4144","Centaurea",734,"Compositae","AM"
"4145","Centaurodendron",2,"Compositae","AM"
"4146","Centauropsis",9,"Compositae","AM"
"4147","Centaurothamnus",1,"Compositae","AM"
"4148","Centauserratula",1,"Compositae",NA
"4149","Centipeda",11,"Compositae","AM"
"4150","Centrapalus",1,"Compositae",NA
"4151","Centratherum",3,"Compositae","AM"
"4152","Centromadia",4,"Compositae","AM"
"4153","Cephalipterum",1,"Compositae","AM"
"4154","Cephalopappus",1,"Compositae","AM"
"4155","Cephalophora",1,"Compositae",NA
"4156","Cephalorrhynchus",4,"Compositae","AM"
"4157","Cephalosorus",1,"Compositae","EcM-AM"
"4158","Ceratogyne",1,"Compositae","AM"
"4159","Ceruana",1,"Compositae","AM"
"4160","Chacoa",1,"Compositae","AM"
"4161","Chaenactis",19,"Compositae","AM"
"4162","Chaetadelpha",1,"Compositae","AM"
"4163","Chaetanthera",49,"Compositae","AM"
"4164","Chaetopappa",11,"Compositae","AM"
"4165","Chaetoseris",23,"Compositae","AM"
"4166","Chaetymenia",1,"Compositae","AM"
"4167","Chamaechaenactis",1,"Compositae","AM"
"4168","Chamaegeron",4,"Compositae","AM"
"4169","Chamaeleon",1,"Compositae",NA
"4170","Chamaemelum",4,"Compositae","AM"
"4171","Chamaepus",1,"Compositae","AM"
"4172","Chaptalia",68,"Compositae","AM"
"4173","Charadranaetes",1,"Compositae","AM"
"4174","Chardinia",1,"Compositae","AM"
"4175","Cheirolophus",26,"Compositae","AM"
"4176","Chersodoma",9,"Compositae","AM"
"4177","Chevreulia",7,"Compositae","AM"
"4178","Chihuahuana",1,"Compositae","AM"
"4179","Chiliadenus",10,"Compositae","AM"
"4180","Chiliocephalum",2,"Compositae","AM"
"4181","Chiliophyllum",3,"Compositae","AM"
"4182","Chiliotrichiopsis",4,"Compositae","AM"
"4183","Chiliotrichum",4,"Compositae","AM"
"4184","Chimantaea",9,"Compositae","AM"
"4185","Chionolaena",21,"Compositae","AM"
"4186","Chionopappus",1,"Compositae","AM"
"4187","Chlaenobolus",1,"Compositae",NA
"4188","Chlamydophora",1,"Compositae","AM"
"4189","Chlamysperma",1,"Compositae",NA
"4190","Chloracantha",1,"Compositae","AM"
"4191","Chondrilla",41,"Compositae","AM"
"4192","Chondropyxis",1,"Compositae","EcM-AM"
"4193","Chorisiva",1,"Compositae",NA
"4194","Chresta",14,"Compositae","AM"
"4195","Chromolaena",175,"Compositae","AM"
"4196","Chromolepis",1,"Compositae","AM"
"4197","Chronopappus",1,"Compositae","AM"
"4198","Chrysactinia",6,"Compositae","AM"
"4199","Chrysactinium",7,"Compositae","AM"
"4200","Chrysanthellum",11,"Compositae","AM"
"4201","Chrysanthemoides",2,"Compositae","AM"
"4202","Chrysanthemum",42,"Compositae","AM"
"4203","Chrysanthoglossum",2,"Compositae","AM"
"4204","Chrysocephalum",9,"Compositae","EcM-AM"
"4205","Chrysocoma",24,"Compositae","AM"
"4206","Chrysogonum",2,"Compositae","AM"
"4207","Chrysolaena",18,"Compositae","AM"
"4208","Chrysoma",1,"Compositae","AM"
"4209","Chrysophthalmum",4,"Compositae","AM"
"4210","Chrysopsis",12,"Compositae","AM"
"4211","Chrysothamnus",11,"Compositae","AM"
"4212","Chthonocephalus",7,"Compositae","AM"
"4213","Chucoa",2,"Compositae","AM"
"4214","Chuquiraga",23,"Compositae","AM"
"4215","Cicerbita",16,"Compositae","AM"
"4216","Ciceronia",1,"Compositae","AM"
"4217","Cichorium",10,"Compositae","AM"
"4218","Cineraria",51,"Compositae","AM"
"4219","Cirsiocarduus",6,"Compositae",NA
"4220","Cirsium",481,"Compositae","AM"
"4221","Cissampelopsis",11,"Compositae","AM"
"4222","Cladanthus",5,"Compositae","AM"
"4223","Cladochaeta",1,"Compositae","AM"
"4224","Clappia",1,"Compositae","AM"
"4225","Clibadium",38,"Compositae","AM"
"4226","Cloiselia",1,"Compositae",NA
"4227","Cnicothamnus",2,"Compositae","AM"
"4228","Cnicus",3,"Compositae","AM"
"4229","Codonocephalum",1,"Compositae",NA
"4230","Coespeletia",6,"Compositae","AM"
"4231","Coleocoma",1,"Compositae","AM"
"4232","Coleosanthus",3,"Compositae",NA
"4233","Coleostephus",3,"Compositae","AM"
"4234","Colobanthera",1,"Compositae","AM"
"4235","Cololobus",3,"Compositae","AM"
"4236","Columbiadoria",1,"Compositae","AM"
"4237","Colymbada",1,"Compositae",NA
"4238","Comaclinium",1,"Compositae","AM"
"4239","Comborhiza",2,"Compositae","AM"
"4240","Commidendrum",5,"Compositae","AM"
"4241","Condylidium",2,"Compositae","AM"
"4242","Condylopodium",6,"Compositae","AM"
"4243","Conocliniopsis",1,"Compositae","AM"
"4244","Conoclinium",4,"Compositae","AM"
"4245","Constancea",1,"Compositae","AM"
"4246","Conyza",154,"Compositae","AM"
"4247","Conyzigeron",1,"Compositae",NA
"4248","Coreocarpus",6,"Compositae","AM"
"4249","Coreopsis",100,"Compositae","AM"
"4250","Corethamnium",1,"Compositae","AM"
"4251","Corethrogyne",2,"Compositae","AM"
"4252","Coronidium",9,"Compositae","EcM-AM"
"4253","Corymbium",9,"Compositae","AM"
"4254","Cosmea",2,"Compositae",NA
"4255","Cosmos",42,"Compositae","AM"
"4256","Cota",25,"Compositae","AM"
"4257","Cotula",62,"Compositae","AM"
"4258","Coulterella",1,"Compositae","AM"
"4259","Cousinia",687,"Compositae","AM"
"4260","Cousiniopsis",1,"Compositae","AM"
"4261","Craspedia",24,"Compositae","uncertain"
"4262","Crassocephalum",24,"Compositae","AM"
"4263","Cratystylis",4,"Compositae","AM"
"4264","Cremanthodium",76,"Compositae","AM"
"4265","Cremnothamnus",1,"Compositae","AM"
"4266","Crepi-Hieracium",1,"Compositae",NA
"4267","Crepidiastrum",22,"Compositae","AM"
"4268","Crepidifolium",4,"Compositae",NA
"4269","Crepis",252,"Compositae","AM"
"4270","Crinitaria",3,"Compositae","AM"
"4271","Criscia",1,"Compositae","AM"
"4272","Critonia",44,"Compositae","AM"
"4273","Critoniadelphus",2,"Compositae","AM"
"4274","Critoniella",6,"Compositae","AM"
"4275","Critoniopsis",75,"Compositae","AM"
"4276","Crocidium",2,"Compositae","AM"
"4277","Cronquistia",1,"Compositae","AM"
"4278","Cronquistianthus",28,"Compositae","AM"
"4279","Croptilon",3,"Compositae","AM"
"4280","Crossostephium",3,"Compositae","AM"
"4281","Crossothamnus",4,"Compositae","AM"
"4282","Crupina",5,"Compositae","AM"
"4283","Cuatrecasanthus",3,"Compositae","AM"
"4284","Cuatrecasasiella",2,"Compositae","AM"
"4285","Cuchumatanea",1,"Compositae",NA
"4286","Culcitium",6,"Compositae","AM"
"4287","Cullumia",16,"Compositae","AM"
"4288","Cuniculotinus",1,"Compositae","AM"
"4289","Curio",1,"Compositae",NA
"4290","Cuspidia",1,"Compositae","AM"
"4291","Cyanthillium",8,"Compositae","AM"
"4292","Cyanus",44,"Compositae","AM"
"4293","Cyathocline",4,"Compositae","AM"
"4294","Cyathomone",1,"Compositae","AM"
"4295","Cyclolepis",1,"Compositae","AM"
"4296","Cylindrocline",2,"Compositae","AM"
"4297","Cymbolaena",1,"Compositae","AM"
"4298","Cymbonotus",2,"Compositae","AM"
"4299","Cymbopappus",3,"Compositae","AM"
"4300","Cymophora",4,"Compositae","AM"
"4301","Cynara",11,"Compositae","AM"
"4302","Cyrtocymura",6,"Compositae",NA
"4303","Dacryotrichia",1,"Compositae","AM"
"4304","Dahlia",42,"Compositae","AM"
"4305","Damnamenia",1,"Compositae","AM"
"4306","Damnxanthodium",1,"Compositae","AM"
"4307","Darwiniothamnus",3,"Compositae","AM"
"4308","Dasyandantha",1,"Compositae","AM"
"4309","Dasyanthina",2,"Compositae","AM"
"4310","Dasycondylus",8,"Compositae","AM"
"4311","Dasyphyllum",38,"Compositae","AM"
"4312","Dauresia",1,"Compositae","AM"
"4313","Daveaua",1,"Compositae","AM"
"4314","Decachaeta",8,"Compositae","AM"
"4315","Decaneuropsis",12,"Compositae",NA
"4316","Decaneurum",1,"Compositae",NA
"4317","Decastylocarpus",1,"Compositae","AM"
"4318","Decazesia",1,"Compositae","AM"
"4319","Deinandra",18,"Compositae","AM"
"4320","Delairea",1,"Compositae","AM"
"4321","Delamerea",1,"Compositae","AM"
"4322","Delilia",3,"Compositae","AM"
"4323","Delwiensia",1,"Compositae",NA
"4324","Dendranthema",36,"Compositae",NA
"4325","Dendrocacalia",2,"Compositae","AM"
"4326","Dendrophorbium",72,"Compositae","AM"
"4327","Dendrosenecio",11,"Compositae","AM"
"4328","Dendroseris",12,"Compositae","AM"
"4329","Dendroviguiera",2,"Compositae",NA
"4330","Desmanthodium",8,"Compositae","AM"
"4331","Dewildemania",7,"Compositae","AM"
"4332","Diacranthera",3,"Compositae","AM"
"4333","Diaperia",3,"Compositae",NA
"4334","Diaphractanthus",1,"Compositae","AM"
"4335","Diaspananthus",1,"Compositae",NA
"4336","Dicercoclados",1,"Compositae","AM"
"4337","Dicerothamnus",2,"Compositae","AM"
"4338","Dichaetophora",1,"Compositae","AM"
"4339","Dichrocephala",6,"Compositae","AM"
"4340","Dichromochlamys",1,"Compositae","AM"
"4341","Dicoma",37,"Compositae","AM"
"4342","Dicoria",3,"Compositae","AM"
"4343","Dicranocarpus",1,"Compositae","AM"
"4344","Dicrocephala",1,"Compositae",NA
"4345","Didelta",2,"Compositae","AM"
"4346","Dielitzia",1,"Compositae","AM"
"4347","Dieteria",2,"Compositae","AM"
"4348","Digitacalia",5,"Compositae","AM"
"4349","Dillandia",2,"Compositae","AM"
"4350","Dimeresia",1,"Compositae","AM"
"4351","Dimerostemma",21,"Compositae","AM"
"4352","Dimorphocoma",1,"Compositae","AM"
"4353","Dimorphotheca",19,"Compositae","AM"
"4354","Dinoseris",1,"Compositae",NA
"4355","Diodontium",1,"Compositae","AM"
"4356","Diplactis",1,"Compositae",NA
"4357","Diplazoptilon",2,"Compositae",NA
"4358","Diplostephium",111,"Compositae","AM"
"4359","Dipterocome",1,"Compositae","AM"
"4360","Dipterocypsela",1,"Compositae","AM"
"4361","Disparago",4,"Compositae","AM"
"4362","Dissothrix",1,"Compositae","AM"
"4363","Distegia",1,"Compositae",NA
"4364","Distephanus",32,"Compositae","AM"
"4365","Disynaphia",16,"Compositae","AM"
"4366","Dithyrostegia",2,"Compositae","EcM"
"4367","Dittrichia",2,"Compositae","AM"
"4368","Doellia",1,"Compositae","AM"
"4369","Doellingeria",11,"Compositae","AM"
"4370","Dolichlasium",1,"Compositae","AM"
"4371","Dolichoglottis",2,"Compositae","AM"
"4372","Dolichorrhiza",4,"Compositae","AM"
"4373","Dolichothrix",1,"Compositae","AM"
"4374","Dolomiaea",15,"Compositae","AM"
"4375","Doniophyton",2,"Compositae","AM"
"4376","Dorobaea",3,"Compositae","AM"
"4377","Doronicum",39,"Compositae","AM"
"4378","Dresslerothamnus",3,"Compositae","AM"
"4379","Dubautia",32,"Compositae","AM"
"4380","Dubyaea",18,"Compositae","AM"
"4381","Dugaldia",2,"Compositae",NA
"4382","Dugesia",1,"Compositae","AM"
"4383","Duhaldea",10,"Compositae","AM"
"4384","Duidaea",4,"Compositae","AM"
"4385","Duseniella",1,"Compositae","AM"
"4386","Dymondia",1,"Compositae","AM"
"4387","Dyscritogyne",2,"Compositae","AM"
"4388","Dyscritothamnus",2,"Compositae","AM"
"4389","Dysodiopsis",1,"Compositae","AM"
"4390","Dyssodia",8,"Compositae","AM"
"4391","Eastwoodia",1,"Compositae","AM"
"4392","Eatonella",1,"Compositae","AM"
"4393","Echinacea",10,"Compositae","AM"
"4394","Echinocoryne",7,"Compositae",NA
"4395","Echinops",193,"Compositae","AM"
"4396","Eclipta",11,"Compositae","NM-AM"
"4397","Edmondia",3,"Compositae","AM"
"4398","Edwartiothamnus",1,"Compositae",NA
"4399","Egletes",11,"Compositae","AM"
"4400","Eirmocephala",3,"Compositae",NA
"4401","Eitenia",2,"Compositae","AM"
"4402","Ekmania",1,"Compositae","AM"
"4403","Ekmaniopappus",1,"Compositae","AM"
"4404","Elachanthemum",1,"Compositae","AM"
"4405","Elachanthus",2,"Compositae","AM"
"4406","Elaphandra",14,"Compositae","AM"
"4407","Elekmania",9,"Compositae","AM"
"4408","Elephantopus",29,"Compositae","AM"
"4409","Eleutheranthera",3,"Compositae","AM"
"4410","Ellenbergia",1,"Compositae","AM"
"4411","Elytropappus",2,"Compositae","AM"
"4412","Emilia",115,"Compositae","AM"
"4413","Emiliella",6,"Compositae","AM"
"4414","Encelia",20,"Compositae","AM"
"4415","Enceliopsis",3,"Compositae","AM"
"4416","Endocellion",1,"Compositae","AM"
"4417","Endopappus",1,"Compositae","AM"
"4418","Engelmannia",2,"Compositae","AM"
"4419","Engleria",2,"Compositae","AM"
"4420","Enydra",6,"Compositae","AM"
"4421","Epallage",3,"Compositae",NA
"4422","Epaltes",9,"Compositae","AM"
"4423","Epilasia",3,"Compositae","uncertain"
"4424","Epitriche",1,"Compositae","AM"
"4425","Erato",5,"Compositae","AM"
